Id;Facility Name;VAMC System Health Services;Facility description of services;Owner
vha_635-Radiology;'Oklahoma City VA Medical Center';'Radiology at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Second floor, 2 West wing<br /><strong><Room 2F143>Phone:</strong> <a href="tel:+14054564135" aria-label="4 0 5. 4 5 6. 4 1 3 5.">405-456-4135</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054564135" aria-label="4 0 5. 4 5 6. 4 1 3 5.">405-456-4135</a><br /></p>';'VA Oklahoma City health care'
vha_635-Rehabilitation and prosthetics;'Oklahoma City VA Medical Center';'Rehabilitation and prosthetics at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />First floor<br /><strong><Room 1B103>Phone:</strong> <a href="tel:+14054564212" aria-label="4 0 5. 4 5 6. 4 2 1 2.">405-456-4212</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054564212" aria-label="4 0 5. 4 5 6. 4 2 1 2.">405-456-4212</a><br /></p>';'VA Oklahoma City health care'
vha_635-Returning service member care;'Oklahoma City VA Medical Center';'Returning service member care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+14054561000" aria-label="4 0 5. 4 5 6. 1 0 0 0.">405-456-1000</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+14054561000" aria-label="4 0 5. 4 5 6. 1 0 0 0.">405-456-1000</a><br /></p>';'VA Oklahoma City health care'
vha_635-Sleep medicine;'Oklahoma City VA Medical Center';'Sleep medicine at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Fifth floor<br /><strong><Room 5F159>Phone:</strong> <a href="tel:+14054562515" aria-label="4 0 5. 4 5 6. 2 5 1 5.">405-456-2515</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054562515" aria-label="4 0 5. 4 5 6. 2 5 1 5.">405-456-2515</a><br /><Strong>Additional Phone:</strong> <a href="tel:+14054562516" aria-label="4 0 5. 4 5 6. 2 5 1 6.">405-456-2516</a></p>';'VA Oklahoma City health care'
vha_635-Smoking and tobacco cessation;'Oklahoma City VA Medical Center';'Smoking and tobacco cessation at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Ground floor<br /><strong><Room GA125>Phone:</strong> <a href="tel:+14054563940" aria-label="4 0 5. 4 5 6. 3 9 4 0.">405-456-3940</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054563940" aria-label="4 0 5. 4 5 6. 3 9 4 0.">405-456-3940</a><br /></p>';'VA Oklahoma City health care'
vha_635-Social work;'Oklahoma City VA Medical Center';'Social work at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Third floor<br /><strong><Room 3E107>Phone:</strong> <a href="tel:+14054565574" aria-label="4 0 5. 4 5 6. 5 5 7 4.">405-456-5574</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+14054565574" aria-label="4 0 5. 4 5 6. 5 5 7 4.">405-456-5574</a><br /></p>';'VA Oklahoma City health care'
vha_635-Spinal cord injury and disorders;'Oklahoma City VA Medical Center';'Spinal cord injury and disorders at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Second floor<br /><strong><Room 2A133>Phone:</strong> <a href="tel:+14054563365" aria-label="4 0 5. 4 5 6. 3 3 6 5.">405-456-3365</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054563365" aria-label="4 0 5. 4 5 6. 3 3 6 5.">405-456-3365</a><br /></p>';'VA Oklahoma City health care'
vha_635-Suicide prevention;'Oklahoma City VA Medical Center';'Suicide prevention at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Room 3G100<br /><strong><>Phone:</strong> <a href="tel:+18775659329" aria-label="8 7 7. 5 6 5. 9 3 2 9.">877-565-9329</a>, ext. 1<br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+18775659329" aria-label="8 7 7. 5 6 5. 9 3 2 9.">877-565-9329</a><br /></p>';'VA Oklahoma City health care'
vha_635-Surgery;'Oklahoma City VA Medical Center';'Surgery at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Seventh floor<br /><strong><Room 7A161>Phone:</strong> <a href="tel:+14054565855" aria-label="4 0 5. 4 5 6. 5 8 5 5.">405-456-5855</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:00 p.m. CT<br />Tuesday -  7:00 a.m. to 5:00 p.m. CT<br />Wednesday - 7:00 a.m. to 5:00 p.m. CT<br />Thursday -  7:00 a.m. to 5:00 p.m. CT<br />Friday -  7:00 a.m. to 5:00 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054565855" aria-label="4 0 5. 4 5 6. 5 8 5 5.">405-456-5855</a><br /></p>';'VA Oklahoma City health care'
vha_635-Thoracic surgery;'Oklahoma City VA Medical Center';'Thoracic surgery at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Seventh floor<br /><strong><Room 7B145>Phone:</strong> <a href="tel:+14054563379" aria-label="4 0 5. 4 5 6. 3 3 7 9.">405-456-3379</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054563379" aria-label="4 0 5. 4 5 6. 3 3 7 9.">405-456-3379</a><br /></p>';'VA Oklahoma City health care'
vha_635-Urgent care;'Oklahoma City VA Medical Center';'Urgent care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />First floor<br /><strong><Suite 1B-111>Phone:</strong> <a href="tel:+14054561000" aria-label="4 0 5. 4 5 6. 1 0 0 0.">405-456-1000</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 6:00 p.m. CT<br />Tuesday -  8:00 a.m. to 6:00 p.m. CT<br />Wednesday - 8:00 a.m. to 6:00 p.m. CT<br />Thursday -  8:00 a.m. to 6:00 p.m. CT<br />Friday -  8:00 a.m. to 6:00 p.m. CT<br />Saturday - 11:30 a.m. to 8:00 p.m. CT <br />Sunday - 11:30 a.m. to 8:00 p.m. CT <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+14054561000" aria-label="4 0 5. 4 5 6. 1 0 0 0.">405-456-1000</a><br /></p>';'VA Oklahoma City health care'
vha_635-Urology;'Oklahoma City VA Medical Center';'Urology at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Fourth floor North<br /><strong><Room 4B137>Phone:</strong> <a href="tel:+14054563018" aria-label="4 0 5. 4 5 6. 3 0 1 8.">405-456-3018</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054563018" aria-label="4 0 5. 4 5 6. 3 0 1 8.">405-456-3018</a><br /><Strong>Additional Phone:</strong> <a href="tel:+14054563015" aria-label="4 0 5. 4 5 6. 3 0 1 5.">405-456-3015</a></p>';'VA Oklahoma City health care'
vha_635-Vascular surgery;'Oklahoma City VA Medical Center';'Vascular surgery at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />Seventh floor<br /><strong><Room 7B145>Phone:</strong> <a href="tel:+14054563379" aria-label="4 0 5. 4 5 6. 3 3 7 9.">405-456-3379</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+14054563379" aria-label="4 0 5. 4 5 6. 3 3 7 9.">405-456-3379</a><br /></p>';'VA Oklahoma City health care'
vha_635-Women Veteran care;'Oklahoma City VA Medical Center';'Women Veteran care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+14054563758" aria-label="4 0 5. 4 5 6. 3 7 5 8.">405-456-3758</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:00 p.m. CT<br />Tuesday -  8:00 a.m. to 4:00 p.m. CT<br />Wednesday - 8:00 a.m. to 4:00 p.m. CT<br />Thursday -  8:00 a.m. to 4:00 p.m. CT<br />Friday -  8:00 a.m. to 4:00 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+14054563758" aria-label="4 0 5. 4 5 6. 3 7 5 8.">405-456-3758</a><br /></p>';'VA Oklahoma City health care'
vha_635GD-Mental health care;'Ada Va Clinic';'Mental health care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />717 Better Now Plaza<br /><strong><Ada, OK 74820-2279>Phone:</strong> <a href="tel:+15804362262" aria-label="5 8 0. 4 3 6. 2 2 6 2.">580-436-2262</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15804362262" aria-label="5 8 0. 4 3 6. 2 2 6 2.">580-436-2262</a><br /></p>';'VA Oklahoma City health care'
vha_635GD-Primary care;'Ada Va Clinic';'Primary care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />718 Better Now Plaza<br /><strong><Ada, OK 74820-2279>Phone:</strong> <a href="tel:+15804362262" aria-label="5 8 0. 4 3 6. 2 2 6 2.">580-436-2262</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15804362262" aria-label="5 8 0. 4 3 6. 2 2 6 2.">580-436-2262</a><br /></p>';'VA Oklahoma City health care'
vha_635GD-Telehealth;'Ada Va Clinic';'Telehealth at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />719 Better Now Plaza<br /><strong><Ada, OK 74820-2279>Phone:</strong> <a href="tel:+15804362262" aria-label="5 8 0. 4 3 6. 2 2 6 2.">580-436-2262</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15804362262" aria-label="5 8 0. 4 3 6. 2 2 6 2.">580-436-2262</a><br /></p>';'VA Oklahoma City health care'
vha_635GF-Mental health care;'Altus VA Clinic';'Mental health care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1604 North Main<br /><strong><Altus, OK 73521-2145>Phone:</strong> <a href="tel:+15804820721" aria-label="5 8 0. 4 8 2. 0 7 2 1.">580-482-0721</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15804820721" aria-label="5 8 0. 4 8 2. 0 7 2 1.">580-482-0721</a><br /></p>';'VA Oklahoma City health care'
vha_635GF-Primary care;'Altus VA Clinic';'Primary care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1604 North Main<br /><strong><Altus, OK 73521-2145>Phone:</strong> <a href="tel:+15804820721" aria-label="5 8 0. 4 8 2. 0 7 2 1.">580-482-0721</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15804820721" aria-label="5 8 0. 4 8 2. 0 7 2 1.">580-482-0721</a><br /></p>';'VA Oklahoma City health care'
vha_635GF-Telehealth;'Altus VA Clinic';'Telehealth at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1604 North Main<br /><strong><Altus, OK 73521-2145>Phone:</strong> <a href="tel:+15804820721" aria-label="5 8 0. 4 8 2. 0 7 2 1.">580-482-0721</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15804820721" aria-label="5 8 0. 4 8 2. 0 7 2 1.">580-482-0721</a><br /></p>';'VA Oklahoma City health care'
vha_635HB-Mental health care;'Ardmore VA Clinic';'Mental health care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1235 12th Avenue Northwest<br /><strong><Ardmore, OK 73401-1850>Phone:</strong> <a href="tel:+15802220400" aria-label="5 8 0. 2 2 2. 0 4 0 0.">580-222-0400</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15802220400" aria-label="5 8 0. 2 2 2. 0 4 0 0.">580-222-0400</a><br /></p>';'VA Oklahoma City health care'
vha_635HB-Primary care;'Ardmore VA Clinic';'Primary care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1235 12th Avenue Northwest<br /><strong><Ardmore, OK 73401-1850>Phone:</strong> <a href="tel:+15802220400" aria-label="5 8 0. 2 2 2. 0 4 0 0.">580-222-0400</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15802220400" aria-label="5 8 0. 2 2 2. 0 4 0 0.">580-222-0400</a><br /></p>';'VA Oklahoma City health care'
vha_635HB-Telehealth;'Ardmore VA Clinic';'Telehealth at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1235 12th Avenue Northwest<br /><strong><Ardmore, OK 73401-1850>Phone:</strong> <a href="tel:+15802220400" aria-label="5 8 0. 2 2 2. 0 4 0 0.">580-222-0400</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15802220400" aria-label="5 8 0. 2 2 2. 0 4 0 0.">580-222-0400</a><br /></p>';'VA Oklahoma City health care'
vha_635GC-Mental health care;'Blackwell VA Clinic';'Mental health care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1009 West Ferguson Avenue<br /><strong><Blackwell, OK 74631-5602>Phone:</strong> <a href="tel:+15803630052" aria-label="5 8 0. 3 6 3. 0 0 5 2.">580-363-0052</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15803630052" aria-label="5 8 0. 3 6 3. 0 0 5 2.">580-363-0052</a><br /></p>';'VA Oklahoma City health care'
vha_635GC-Primary care;'Blackwell VA Clinic';'Primary care at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1009 West Ferguson Avenue<br /><strong><Blackwell, OK 74631-5602>Phone:</strong> <a href="tel:+15803630052" aria-label="5 8 0. 3 6 3. 0 0 5 2.">580-363-0052</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15803630052" aria-label="5 8 0. 3 6 3. 0 0 5 2.">580-363-0052</a><br /></p>';'VA Oklahoma City health care'
vha_635GC-Telehealth;'Blackwell VA Clinic';'Telehealth at VA Oklahoma City health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1009 West Ferguson Avenue<br /><strong><Blackwell, OK 74631-5602>Phone:</strong> <a href="tel:+15803630052" aria-label="5 8 0. 3 6 3. 0 0 5 2.">580-363-0052</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+15803630052" aria-label="5 8 0. 3 6 3. 0 0 5 2.">580-363-0052</a><br /></p>';'VA Oklahoma City health care'
