Id;Health Service;Full Upload;Health System;Owner
Primary care - VA Northport health care;'Primary care';'<h3>Care we provide at VA Northport health care</h3><p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as: </p> <ul><li>Labs and blood work</li><li>Mental health care</li><li>Treatment for addictive disorders</li><li>Transition and care management for post-9/11 combat Veterans of Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND) </li><li>Learn more about PTSD https://www.ptsd.va.gov/</li></ul>';'VA Northport health care';'VA Northport health care'
Psychiatry - VA Northport health care;'Psychiatry';'<h3>Care we provide at VA Northport health care</h3><p>Good mental health is a vital part of your overall wellness. Our psychiatry teams offer consultation, evaluation, and treatment to help you with a range of mental and behavioral health problems, including:</p> <ul><li>Depression (including sadness and grief), anxiety (including worry and nervousness), and personality disorders </li><li>Addictive behaviors and substance abuse</li><li>Healthy diets to help you manage your weight and improve energy</li><li>Strategies to help you increase your feelings of control, optimism, and self-esteem</li><li>Tests to measure your lung function, lung volume, and blood gas</li></ul>';'VA Northport health care';'VA Northport health care'
Psychology - VA Northport health care;'Psychology';'<h3>Care we provide at VA Northport health care</h3><p>Our psychology teams offer consultation, evaluation, and treatment to help with a range of mental and behavioral health problems like:</p> <ul><li>Depression (including sadness and grief), anxiety (including worry and nervousness), and personality disorders </li><li>Addictive behaviors and substance abuse</li><li>Stereotactic Body Radiation Therapy (SBRT), which uses precisely focused radiation to treat tumors in your lungs, spine, liver, lymph nodes, or other soft tissues</li><li>Low-dose Rate Definitive and Salvage Brachytherapy, which use low doses of radiation to treat prostrate cancer</li><li>Image Guided Radiation Therapy (IGRT), which uses detailed images to help focus radiation on affected areas, improve outcomes, and shorten treatment</li></ul>';'VA Northport health care';'VA Northport health care'
Pulmonary medicine - VA Northport health care;'Pulmonary medicine';'<h3>Care we provide at VA Northport health care</h3><p>If you find it difficult to breathe or sleep, our pulmonary (lung) specialists can help. We offer education, exercises, and treatments like:</p> <ul><li>Oxygen therapy to help you stay active and breathe better</li><li>Pulmonary rehabilitation to build your strength and increase lung capacity</li><li>Music, art, and crafts </li><li>Community outings</li><li>Exercise, sports, and games</li><li>Gardening and leisure education</li></ul>';'VA Northport health care';'VA Northport health care'
Radiation oncology - VA Northport health care;'Radiation oncology';'<h3>Care we provide at VA Northport health care</h3><p>Radiation oncologists specialize in using high-energy radiation to kill or damage cancer cells and either destroy tumors or control their growth. Our doctors sometimes use radiation therapy in combination with surgery, chemotherapy, or other cancer treatments. The radiation therapy you receive will depend on cancer type, tumor size and location, and your general health. Our services include:</p> <ul><li>Intensity Modulated Radiation Therapy (IMRT), which uses computers to deliver precise radiation doses that match the 3-D shape of your tumor</li><li>Intracranial Stereotactic Radiosurgery (SRS), which uses targeted radiation to treat a brain tumor or lesion while minimizing radiation effects on healthy brain tissue</li><li>Airborne hazards and open burn pit (1990s to present)</li><li>Gulf War (1990s to present)</li><li>Depleted uranium (DU) (1990s to present)</li><li>Toxic embedded fragments/shrapnel (2000s to present) </li><li>Learn more about VA Health Registry  https://www.publichealth.va.gov/exposures/benefits/registry-evaluation.asp</li></ul>';'VA Northport health care';'VA Northport health care'
Recreation and creative arts therapy - VA Northport health care;'Recreation and creative arts therapy';'<h3>Care we provide at VA Northport health care</h3><p>Our therapies promote your independence and enhance your health and well-being if you’re a Veteran with an injury, chronic (long-lasting) illness, or disabling condition. After your primary health care provider gives you a referral, a recreation therapist will develop treatment goals for you.</p> <ul><li>Recreation and creative arts therapy provides services and activities that include:</li><li>Animal interaction</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance</li><li>Learn more and connect with a coordinator</li></ul>';'VA Northport health care';'VA Northport health care'
Returning service member care - VA Northport health care;'Returning service member care';'<h3>Care we provide at VA Northport health care</h3><p>At VA <<insert facility name>> health care, we can help you readjust to civilian life if you’re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.</p> <ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Tobacco Cessation Quitline for individual counseling and strategies</li><li>SmokefreeVET text message program for daily advice and interactive support </li><li>Stay Quit Coach mobile app to help you quit smoking and stay smoke-free</li><li>Learn more about how to quit https://www.mentalhealth.va.gov/quit-tobacco/how-to-quit.asp</li></ul>';'VA Northport health care';'VA Northport health care'
Social work - VA Northport health care;'Social work';'<h3>Care we provide at VA Northport health care</h3><p>Social work is integral to health care. We can help you and your family manage stress-related problems due to injury or illness, and find VA community resources to meet your needs like:</p> <ul><li>Home health services</li><li>Legal services</li><li>Gun safety locks</li><li>Learn more and connect with a care coordinator. (Link to Suicide Prevention page)</li><li>Learn more and connect with a care coordinator</li></ul>';'VA Northport health care';'VA Northport health care'
Suicide prevention - VA Northport health care;'Suicide prevention';'<h3>Care we provide at VA Northport health care</h3><p>We work with behavioral health providers and community organizations to help you and your family during times of crisis. We offer:</p> <ul><li>Suicide prevention care coordinators</li><li>Suicide prevention case managers</li><li>Bariatric surgery (visit remotely with your weight-loss surgery team before and after your operation) </li><li>Dermatology </li><li>Rehabilitation</li><li>Primary care</li><li>Learn more about telehealth  https://www.telehealth.va.gov/</li></ul>';'VA Northport health care';'VA Northport health care'
Surgery - VA Northport health care;'Surgery';'<h3>Care we provide at VA Northport health care</h3><p>We provide a wide range of surgical services, like:</p> <ul><li>General surgery</li><li>Anesthesia</li><li>Pleural illnesses, like pneumothorax (collapsed lung) and infections of the pleura (the thin membrane that lines the chest wall and covers the lungs)</li><li>Achalasia, which occurs when nerve damage prevents your esophagus from pushing food into your stomach)</li><li>Gastroesophageal reflux disease, or acid reflux, which occurs when stomach acid frequently flows back into your esophagus and irritates the lining</li><li>Diseases of the thymus, a small organ beneath your breastbone that produces cells that support your immune system and fight cancer</li></ul>';'VA Northport health care';'VA Northport health care'
Surgical oncology - VA Northport health care;'Surgical oncology';'<h3>Care we provide at VA Northport health care</h3><p>Our surgical oncologists are specially trained to treat many different cancers, like liver, pancreatic, gastric (stomach), colon (intestinal), and rectal cancers. They can:</p> <ul><li>Diagnose your cancer after taking a small tissue sample (biopsy) </li><li>Stage your cancer by determining the tumor size and if it has spread (metastasized) to other parts of your body</li><li>Heart transplants</li><li>Lung transplants</li><li>Referrals to other transplant centers</li></ul>';'VA Northport health care';'VA Northport health care'
Urology - VA Northport health care;'Urology';'<h3>Care we provide at VA Northport health care</h3><p>We evaluate, diagnose, and treat a wide range of urology diseases and conditions that include kidney stones, erectile dysfunction, urinary incontinence, prostate cancer, and more. We provide you with medical care, surgery, and minimally invasive procedures for health issues that affect:</p> <ul><li>Kidneys</li><li>Bladder</li><li>Promote good posture, breathing, digestion, and tissue health</li><li>Prevent complications and additional injuries</li></ul>';'VA Northport health care';'VA Northport health care'
Women Veteran care - VA Northport health care;'Women Veteran care';'<h3>Care we provide at VA Northport health care</h3><p>Our women's health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women’s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:</p> <ul><li>Ultrasounds, Mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li></ul>';'VA Northport health care';'VA Northport health care'
Addiction and substance abuse treatment - VA Syracuse health care;'Addiction and substance abuse treatment';'<h3>Care we provide at VA Syracuse health care</h3><p>We help Veterans on their recovery journey through outpatient and inpatient services. Our residential facility helps Veterans deal with substance abuse, homelessness, mental health, and unemployment through its 24-hour therapeutic and educational programs like:</p> <ul><li>Rehabilitation</li><li>Health maintenance</li><li>Prosthetic support to help you choose your artificial limb and use it effectively</li><li>Limb loss education and training to help you with daily living, like coping techniques, mobility tips, driving skills, and scar care</li><li>Medical and surgical consultations with other specialties</li><li>Learn more about the VA amputation system of care  https://www.rehab.va.gov/asoc/</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Advice nurse - VA Syracuse health care;'Advice nurse';'<h3>Care we provide at VA Syracuse health care</h3><p>The registered nurses on our Nurse Advice Line provide you and your family with helpful medical advice and free, confidential answers to many of your health care questions. Call anytime. We’re here 24 hours a day, 7 days a week. In addition, our nurses can: </p> <ul><li>Help you manage many of your basic health care needs</li><li>Answer questions about your current medications or medical condition</li><li>Monitoring your breathing and vital body functions while you’re under anesthesia</li><li>Working with the rest of your care team to manage your pain medications after your operation</li><li>Coordinating care with your other healthcare professionals to facilitate a smooth transition from hospital to home</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Audiology and speech - VA Syracuse health care;'Audiology and speech';'<h3>Care we provide at VA Albany health care</h3><p>Our Audiology and Speech Pathology clinic provides diagnostic and rehabilitative services, VA compensation and pension examinations, and screening for employee hearing conservation.<br />We offer a full range of audiology and speech pathology services like:</p> <ul><li>Hearing and balance evaluations</li><li>Selection, management, and repair of hearing aids and assistive listening device assessments </li><li>Treating your heart vessels with nonsurgical or minimally invasive operations that open and support them through balloon angioplasty or stent placement</li><li>Noninvasively monitoring you for changes in heart rhythm, using electrocardiograms (EKGs or ECGs), portable Holt monitors, or ultrasound</li><li>Performing surgical treatments like pacemaker implants or cardiac catheterization (inserting a long, thin tube into an artery or vein)</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Cancer care - VA Syracuse health care;'Cancer care';'<h3>Care we provide at VA Syracuse health care</h3><p>If you’re diagnosed with cancer, our team will work with you, your primary care doctor, and other health care providers to develop a specialized treatment plan. We offer personal, compassionate, and expert care, with services like:</p> <ul><li>Surgical removal of tumors and other cancerous tissue</li><li>Immunotherapy, which helps your body’s natural defenses destroy cancer cells</li><li>Match you with services and benefits </li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle </li><li>Provide you with additional help at home</li><li>Learn more and connect with a support coordinator			</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Cardiology - VA Syracuse health care;'Cardiology';'<h3>Care we provide at VA Syracuse health care</h3><p>We perform noninvasive and minimally invasive tests and procedures that check, support, and improve your heart health. We’ll work with you to develop a personalized treatment plan and treat you with the most effective medications. Our services include</p> <ul><li>Evaluating you for coronary heart disease, heart-valve disease, and heart defects</li><li>Determining how well blood flows through your heart vessels or find the cause of your heart failure</li><li>Soft-tissue mobilization, which uses gentle pressure or massage to relax tense muscles, reduce scar tissue, or stretch connective tissue</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Caregiver support - VA Syracuse health care;'Caregiver support';'<h3>Care we provide at VA Syracuse health care</h3><p>If you’re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren’t already covered. For all caregivers, we can:</p> <ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Acupuncture and acupressure</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Chiropractic - VA Syracuse health care;'Chiropractic';'<h3>Care we provide at VA Syracuse health care</h3><p>Chiropractic care restores, improves, and maintains your function, activity, and health. We work with your primary care doctor and other specialty care providers to provide a complete health care plan for you. We offer many treatments, like:</p> <ul><li>Spinal manipulative therapy to relieve pressure on your joints, reduce inflammation, and improve nerve function</li><li>Electrical stimulation therapy, which reduces pain by sending mild electrical pulses through your skin to help stimulate injured muscles or manipulate nerves</li><li>Provide nutrition through a feeding tube in your vein, nose or mouth</li><li>Drain urine from your bladder using a catheter</li><li>Give fluids and medicine through your vein using an IV pump</li><li>Help prevent blood clots in your legs by using inflatable compression wraps and boots</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Complementary and alternative medicine - VA Syracuse health care;'Complementary and alternative medicine';'<h3>Care we provide at VA Syracuse health care</h3><p>e use complementary medicine along with standard medical treatments, like using acupuncture to help lessen the side effects of chemotherapy. We also provide alternative medicine instead of traditional medical treatments, like using herbs rather than prescription drugs to treat cancer. We offer treatments, like:</p> <ul><li>Natural products and special diets</li><li>Deep breathing, meditation, and yoga</li><li>Evaluation, biopsy, and treatment of cancerous or pre-cancerous skin conditions, like abnormal moles and lesions.</li><li>Referrals for complex conditions</li><li>Teledermatology (a telehealth resource), which gives patients quick access to expert opinions</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Dental/oral surgery - VA Syracuse health care;'Dental/oral surgery';'<h3>Care we provide at VA Syracuse health care</h3><p>If you’re eligible for VA dental care, we offer a full range of quality dental services like:</p> <ul><li>Routine exams and teeth cleaning </li><li>Restorative procedures, including fillings and crowns</li><li>Psychiatric evaluations</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Dermatology - VA Syracuse health care;'Dermatology';'<h3>Care we provide at VA Syracuse health care</h3><p>We provide care for many medical and surgical skin conditions. Our dermatology services include: </p> <ul><li>Medically necessary treatments for skin conditions like skin cancer and rashes</li><li>Specialized treatments for acute (short-term) and chronic (long-lasting) skin conditions, like psoriasis, eczema, warts, and fungal illnesses</li><li>Determine the cause and proper treatment of endocrine and metabolic disorders</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Diabetes - VA Syracuse health care;'Diabetes';'<h3>Care we provide at VA Syracuse health care</h3><p>Medically necessary treatments for skin conditions like skin cancer and rashes</p> <ul><li>Self-management, education, and support classes</li><li>Insulin therapy and blood-glucose meter training</li><li>Help with daily tasks like bathing, dressing, making meals, and taking medicine</li><li>Pain management and palliative care to relieve suffering and improve quality of life for people with serious illnesses </li><li>Hospice care to provide comfort and compassionate care for people in the last phases of an incurable illness</li><li>To learn more about the different types of extended care that VA provides, see our guide to long-term services and support.</li><li>Learn more about VA long term care  https://www.va.gov/GERIATRICS/</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Emergency care - VA Syracuse health care;'Emergency care';'<h3>Care we provide at VA Syracuse health care</h3><p>We provide emergency medical care 24 hours a day, every day. Our emergency room staff can help you with:</p> <ul><li>Life-threatening illnesses and injuries that require immediate attention</li><li>Urgent medical issues that must be treated right away</li><li>Manometry study, which tests how well your esophagus is working</li><li>Small bowel capsule endoscopy, which uses a tiny wireless camera that takes pictures as it moves through your digestive system</li><li>24-hour pH study, which measures how much stomach acid is flowing into your esophagus and helps us assess conditions like severe heartburn and acid reflux</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Extended care and rehabilitation - VA Syracuse health care;'Extended care and rehabilitation';'<h3>Care we provide at VA Syracuse health care</h3><p>We provide long-term care to help you and your family when you’re dealing with a disability, chronic (long-lasting) illness, terminal illness, or serious health issues related to aging. Our long-term health care services include:</p> <ul><li>24/7 nursing and medical care</li><li>Physical therapy</li><li>Physical and occupational therapy</li><li>Learn more about VA long term care  https://www.va.gov/GERIATRICS/</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Gastroenterology - VA Syracuse health care;'Gastroenterology';'<h3>Care we provide at VA Syracuse health care</h3><p>We diagnose and treat medical conditions in your esophagus, stomach, intestines, colon, and other parts of your digestive system. We can also test and treat other organs, like your liver, pancreas, and gallbladder. Our gastroenterology department provides services like:</p> <ul><li>Colonoscopy, esophagogastroduodenoscopy (EGD), and endoscopic retrograde cholangiopancreatography (ERCP), which use an endoscope (a long, flexible tube with a small camera on the end) that lets us examine your digestive system</li><li>Endoscopic ultrasound, which uses high-frequency sound waves to create images that help us diagnose and evaluate digestive and lung diseases</li><li>Osteoporosis screening for brittle bones </li><li>Exams for abnormal uterine bleeding, pelvic pain, or various cancers</li><li>Primary care checkups</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Geriatrics - VA Syracuse health care;'Geriatrics';'<h3>Care we provide at VA Syracuse health care</h3><p>We assess your situation and condition to decide which outpatient geriatric services are right for you or a senior Veteran in your care, and then we coordinate your care. Our team of specialists provides geriatric services that include:</p> <ul><li>Medicine and nursing</li><li>Psychology, psychiatry, and social work</li><li>Medication (PEP) taken after potential exposure to HIV</li><li>Specialty care referrals</li><li>One-to-one patient education</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Gynecology - VA Syracuse health care;'Gynecology';'<h3>Care we provide at VA Syracuse health care</h3><p>Our gynecologists focus on the female reproductive system and provide services that include:</p> <ul><li>Mammograms for breast cancer, screenings for sexually transmitted disease, and Pap tests for cervical cancer</li><li>Counseling and treatment for contraception, pregnancy, and infertility</li><li>Justice system navigation and community reentry from jail</li><li>Financial support to prevent homelessness</li><li>Addiction and depression treatment</li><li>Health and dental care</li><li>Learn more and connect with a care coordinator</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
HIV/hepatitis - VA Syracuse health care;'HIV/hepatitis';'<h3>Care we provide at VA Syracuse health care</h3><p>If you and your family are living with HIV or hepatitis, our dedicated professionals can provide compassionate care and counseling. Our confidential services include:</p> <ul><li>Hepatitis C screening</li><li>HIV testing and treatment</li><li>Compassionate care and counseling for people who are living with infectious diseases</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Homeless Veteran care - VA Syracuse health care;'Homeless Veteran care';'<h3>Care we provide at VA Syracuse health care</h3><p>We help homeless Veterans, or those at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Contact one of our care coordinators to get help with:</p> <ul><li>Immediate food and shelter needs, including both transitional and permanent housing</li><li>Job training, life skills development, and education</li><li>Prescribe and manage your medicine </li><li>Provide preventative care, like tips on diet, exercise, and healthy living</li><li>Treat you when you’re sick or follow up with you after your hospital stay </li><li>Refer you to specialists</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Laboratory and pathology - VA Syracuse health care;'Laboratory and pathology';'<h3>Care we provide at VA Syracuse health care</h3><p>Our laboratories provide a full range of clinical and diagnostic testing services. Our laboratory and pathology services include:</p> <ul><li>Study of blood, urine, and other bodily fluids for illness management</li><li>Testing for infectious diseases</li><li>Posttraumatic stress disorder (PTSD)</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors</li><li>Learn more and connect with a care coordinator</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
LGBT Veteran care - VA Syracuse health care;'LGBT Veteran care';'<h3>Care we provide at VA Syracuse health care</h3><p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBT) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:</p> <ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Walk-in care</li><li>Learn more about military sexual trauma</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Low vision and blind rehabilitation - VA Syracuse health care;'Low vision and blind rehabilitation';'<h3>Care we provide at VA Syracuse health care</h3><p>Our low vision outpatient clinic can assess your needs and provide a rehab plan tailored to your personal goals. Our team of specialists and social workers will work with you to find the right aids and services. Our clinic services include:</p> <ul><li>Comprehensive eye exams</li><li>Visual skills assessments</li><li>Identify barriers and create a more accessible environment for minority Veterans</li><li>Inform minority Veterans of VA benefits, services, and programs</li><li>Learn more and connect with a care coordinator</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Mental health care - VA Syracuse health care;'Mental health care';'<h3>Care we provide at VA Syracuse health care</h3><p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:</p> <ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Behavioral change strategies to help you live a healthier lifestyle</li><li>Learn more about MOVE!  https://www.move.va.gov/</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Military sexual trauma - VA Syracuse health care;'Military sexual trauma';'<h3>Care we provide at VA Syracuse health care</h3><p>We offer care for military sexual trauma in our mental (behavioral) health clinics. Military sexual trauma refers to sexual assault, sexual harassment, or other threatening, offensive, or unwanted sexual advances, activities, or remarks that you experienced in the military. Our goal is to help you improve your quality of life with strategies to manage emotions and memories related to your military sexual trauma. Our services include: </p> <ul><li>Counseling</li><li>Psychiatric care</li><li>Refill your prescriptions, track delivery, and view a list of your medications</li><li>Keep track of your VA medical appointments and get email reminders</li><li>View, download, or print a copy of your VA medical records </li><li>Enter or update your personal information</li><li>Learn more and register for My HealtheVet https://www.myhealth.va.gov/mhv-portal-web/home	</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Minority Veteran care - VA Syracuse health care;'Minority Veteran care';'<h3>Care we provide at VA Syracuse health care</h3><p>If you’re a minority Veteran, we can help you get the services and benefits you need. Our Minority Veterans Program serves all Veterans who are African American, Asian American, Hispanic American, and Native American (including American Indians, Alaska Natives, Native Hawaiians, and Pacific Island Americans). We work to: </p> <ul><li>Help the medical center address minority Veterans’ needs</li><li>Meet minority Veterans’ needs in the local community</li><li>Kidney transplant evaluation</li><li>Kidney disease education</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
MOVE! weight management - VA Syracuse health care;'MOVE! weight management';'<h3>Care we provide at VA Syracuse health care</h3><p>MOVE! is a weight-management program designed to help you live a longer, healthier life. With the help of your MOVE! care team, you can eat a healthier diet, get more exercise, reduce your health risks, and improve your quality of life. The MOVE! program offers:</p> <ul><li>Weight-loss support groups to help you lose weight and keep it off</li><li>Healthy eating tips and cooking classes</li><li>Stroke, dementia, and degenerative diseases</li><li>Other neurological conditions</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
My HealtheVet coordinator - VA Syracuse health care;'My HealtheVet coordinator';'<h3>Care we provide at VA Syracuse health care</h3><p>My HealtheVet is a web-based tool you can use to manage your care and improve your health from your computer or mobile device. You can access your personal health records and use tools to manage your care through our My HealtheVet online system. You can also use My HealtheVet to refill your prescriptions, track appointments, and read informative health articles. If you need help using My HealtheVet, you can contact our coordinator by phone or in person. With My HealtheVet, you can:</p> <ul><li>Ask questions and exchange secure online messages with your VA health care team </li><li>Check your lab and test results</li><li>Neck pain and sciatica (nerve pain in your lower back hip, or leg)</li><li>Herniated disks and degenerative illnesses of the spine</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Nephrology, renal and kidney - VA Syracuse health care;'Nephrology, renal and kidney';'<h3>Care we provide at VA Syracuse health care</h3><p>Our team of kidney doctors (nephrologists) actively manage all aspects of adult kidney disease, kidney and bladder stones, renal hypertension (high blood pressure caused by kidney disease), and mineral and bone disorders. We provide inpatient and outpatient services, like:</p> <ul><li>Dialysis preparation and referral</li><li>Home patient monitoring</li><li>Diabetes (including gestational diabetes)</li><li>Eating disorders and digestive health</li><li>Pregnancy and postpartum nutrition</li><li>Weight management</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Neurology - VA Syracuse health care;'Neurology';'<h3>Care we provide at VA Syracuse health care</h3><p>We provide inpatient and outpatient services for chronic diseases and disorders that affect your brain, spine, and the nerves that connect them. Our neurologists read electroencephalogram (EEG) recordings, which measure the electrical impulses brain cells use to communicate with each other. We evaluate and treat many neurological illnesses and disorders such as:</p> <ul><li>Neuropathy (nerve damage), myelopathy and other spinal cord injuries, and radiculopathy (pinched nerves)</li><li>Parkinson’s disease, epilepsy, and multiple sclerosis</li><li>Treatment for eye conditions related to illnesses like diabetes or arthritis </li><li>Plastic surgery to repair droopy eyelids, clear blocked tear ducts, and perform eyelid and facial reconstruction (oculoplastics)</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Nutrition, food, and dietary - VA Syracuse health care;'Nutrition, food, and dietary';'<h3>Care we provide at VA Syracuse health care</h3><p>Our registered dietitians can help you maintain or improve your health with good nutrition tailored to your needs. Through group, individual, and telehealth sessions, we provide nutrition education and counseling in areas such as: </p> <ul><li>Cardiovascular and heart health</li><li>Chronic kidney disease</li><li>Sports injuries</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Ophthalmology - VA Syracuse health care;'Ophthalmology';'<h3>Care we provide at VA Syracuse health care</h3><p>We offer comprehensive evaluation, diagnosis, and treatment for eye-related illnesses, injuries, and other issues. Our ophthalmology services include:</p> <ul><li>Medical care for glaucoma, eye infections, and other conditions </li><li>Surgery for cataracts, traumatic eye injuries, and other problems</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Optometry - VA Syracuse health care;'Optometry';'<h3>Care we provide at VA Syracuse health care</h3><p>Our optometrists provide many eye-related services and treatments like: </p> <ul><li>Vision services and eye exams</li><li>Treatment for diseases and injuries of the retina, cornea, and other parts of your eye</li><li>Throat, lymph node, thyroid, and parathyroid tumors and other conditions</li><li>Voice and swallowing disorders</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Orthopedics - VA Syracuse health care;'Orthopedics';'<h3>Care we provide at VA Syracuse health care</h3><p>We use surgical and nonsurgical means to treat illnesses and disorders of the musculoskeletal system, which includes your bones, muscles, joints, cartilage, tendons, ligaments, and other connective tissue. We treat conditions like: </p> <ul><li>Musculoskeletal trauma</li><li>Degenerative illnesses</li><li>Lumpectomy to remove cancerous and noncancerous breast tumors</li><li>Colonoscopy to examine your large intestine (colon), the end of your small intestine (ileum), and your rectum</li><li>Tendon, muscle, and small joint repair for conditions like hernia, arthritis, and rotator cuff (shoulder) injury</li><li>Laparoscopic gallbladder surgery (cholecystectomy) to remove your gallbladder and gallstones through small cuts in your abdomen</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Otolaryngology - VA Syracuse health care;'Otolaryngology';'<h3>Care we provide at VA Syracuse health care</h3><p>We evaluate, diagnose, and treat a wide range of ear, nose, and throat conditions, like:</p> <ul><li>Nasal and sinus problems</li><li>Obstructive sleep apnea</li><li>Help with practical issues that include an advance directive (living will), health care power of attorney, funeral arrangements, and applying for VA death and burial benefits</li><li>Education to help you and your family make informed health care decisions and know what to expect as your health declines</li><li>Bereavement care to help surviving family members during the grieving process</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Pain management - VA Syracuse health care;'Pain management';'<h3>Care we provide at VA Syracuse health care</h3><p>Acute (short-term) or chronic (long-lasting) pain can make it hard to enjoy life, but effective pain management can help. Our experts work with you, your primary care physician, and other specialists to create a plan to help you manage your pain and improve your quality of life. Our services include:</p> <ul><li>Chiropractic care to relieve pain without medication</li><li>Prescribing and supervising your use of medications</li><li>Safely dispose of medicines</li><li>Learn more about our pharmacy</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Palliative and hospice care - VA Syracuse health care;'Palliative and hospice care';'<h3>Care we provide at VA Syracuse health care</h3><p>Our palliative and hospice care services support you and your family as you cope with a life-threatening or terminal illness. Palliative care works to provide comfort, reduce suffering, and improve the quality of life for patients being treated for serious illnesses. Hospice care focuses on helping patients with terminal illnesses to manage the final stages of their lives. Our palliative and hospice care services include: </p> <ul><li>Pain and symptom management</li><li>Emotional, spiritual, and psychosocial support for you and your family</li><li>Strengthening exercises and movement therapy to increase fitness and prevent future pain</li><li>Recreation therapy to create coping and social skills</li><li>Occupational therapy to improve coordination and balance, and help you manage life skills and everyday activities</li><li>Assessment and treatment of speech, language, and swallowing disorders </li></ul>';'VA Syracuse health care';'VA Syracuse health care'
Patient advocates - VA Syracuse health care;'Patient advocates';'<h3>Care we provide at VA Syracuse health care</h3><p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:</p> <ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions</li></ul>';'VA Syracuse health care';'VA Syracuse health care'
