Account Name,Account ID,Parent Account,Parent Account ID,Mail Code,Organization Code,Office Type,Station Number,District VEO,Description,Account Record Type,Type,VA Organization Acronym,Active,Office Inactive,Account Owner,Top Parent Id,City,State,Phone,Fax,Website,MyVA Communities Added,NND,VIEWS Account,In FOM?,FOM Sort Order,Org Chart Needed?,Levels To Display In Hierarchy,Point of Contact,Secondary Point of Contact,FOM Coordinator,FOM Approver,FOM Data Request Due Date,Intranet URL,External URL,Certified Ready for FOM,Sub-Levels Ready For FOM,Ready for FOM By,Ready for FOM Date,Month's Since Validation,Last FOM Data Request Created Date,FOM Review Notification Sent Date,Mission,Overview,Activities,Org Chart Image,VIEWS Queue ID,VIEWS Custom Queue Name,VIEWS Group ID,VIEWS Nested Group ID,Related Contracts' Total Value
OALC-003C6A Project Control Service,001t0000009wAsH,"OALC-003C6 Deputy Executive Director, Construction and Facilities Management",001t000000cDbD8,003C6A,3,Organization,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Janelle Massey,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,6/11/2021,,,"The Project Control Service manages and directs a platform of activities to assure development of construction program metrics, focusing on the key processes of time management, cost management; and systems that provide access to all relevant construction program information.","Activities:
? Provides technical and professional support and develops recommendations for improved design and construction processes and procedures for professional A/E services, construction managers, design-build contractors, and all other construction activities.
? Conducts reviews to assess the viability of a project, determine weakness and ensure CFM leadership has information needed to drive improvement in the areas not meeting the standards.
? Oversees development of detailed construction program measurement, determines if current measurement tools are appropriate to the intended strategy, articulates proposed strategies, provides strategic planning to the annual business plan and budget; and monitors and controls the plan to determine if strategy is on track.
? Oversees and coordinates interfaces with field contacts by managing integrated master schedules, program controls, and multifaceted construction program services providing the necessary training tools to ensure that personnel are can utilize these project management fundamental tools to effectively and efficiently plan, design, and manage a project.
? Manages construction program support encompassing professional services for construction management, identifying policy elements that may give rise to disputes and claims.
? Establishes and maintains program review materials with CFM directors and oversees the administration of programs that assess organizational achievement and performance.
? Other tasks include directives management, development of organizational performance measures, and benchmarking best practices in cost and pricing data measurement for the major construction program.",,00Gt0000000s3LoEAI,,00Gt0000000HScbEAG,00Gt0000000s3HrEAI,0
OALC-003C7 Real Property,001t0000009wAs0,OALC-003C Executive Director of Construction and Facilities Management,001t0000009wAsK,003C7,3,Organization,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Brenda Goodworth,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/17/2021,-5,7/6/2021,,,"Office of Real Property (ORP) supports VA by acquiring land for VHA and NCA and by leasing space; facilitating intergovernmental transfers, exchanges, disposals and the acquisition of and granting of easements, licenses and permits. It also provides guidance to regional and local VA offices regarding real property, including the analysis of real estate investment analysis.  Office of Real Property also oversees and administers the Lease Credentialing Program and Lease Warrant Program for VA.","?	Oversees administration of lease acquisition for medical, office and research facilities; and assists GSA in the execution of leases; and reviews GSA?s lease documents for VBA leases.
?	Oversees administration of land acquisition and management activities for all Administrations, including leasehold interests, land and building acquisitions, disposal and historic reuse of buildings, and/or land, demolitions; related land use agreement activities, licenses and permits, out-leasing; Communities Helping Invest through Property and Improvements Needed for Veterans Act of 2016 (CHIP-IN); and management of other real property programs related to VA?s capital assets.
?	Provides policies and associated updates for real property initiatives, such as land use agreements, leasing guidance, CHIP-IN, Quarters Management, Randolph Sheppard Act, Disposal Guidebook, McKinney-Vento Act, etc.",,00Gt0000000HAm1EAG,,00Gt0000000HSc2EAG,00Gt0000000HAlwEAG,0
OALC-003C1D Western Region,001t0000009wArz,OALC-003C1 Design and Construction,001t0000009wAs1,003C1D,3,Organization,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Donald Cooper,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,6/11/2021,,,"Responsible for the execution of major construction for VA in the Central Region. Develops and facilitates effective project delivery strategies, including budget and resource management and oversight for design, project management and construction management implementation.","Serves as the primary advisor to the Office of Design and Construction (ODC) Associate Executive Director of CFM on all Eastern Region Office matters associated with service delivery to clients.
Is responsible for facilitating effective project delivery strategies, including budget and resource management and oversight for design, project management and construction management implementation.
Manages the execution of major construction projects, including those managed by VA and Non-Departmental Federal Entities (NDFE), currently the U.S. Army Corps of Engineers), as well as other VA projects (NRM/Minors) as assigned.
Serves as the Primary Action Officer for emergent high-level issues related to major construction program management.
Oversees the design of systems and processes to support CFMs growing major construction program responsibilities and manages CFMs expansion efforts.
Fosters collaboration among VA organizations, U.S. Army Corps of Engineers and other NDFE?s, and synthesizes information from various sources to identify best practices to facilitate overall CFM operations.
Forms relationships with VA facilities leadership, construction, and the Architect/Engineer industry to ensure effective execution.
Oversees CFM operations in the Central Region, which implements the VA?s major construction projects.",,00Gt0000000ndzbEAA,,00Gt0000000HSc1EAG,00Gt0000000ne34EAA,
OALC-003C1C Central Region,001t0000009wAry,OALC-003C1 Design and Construction,001t0000009wAs1,003C1C,3,Organization,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Donald Cooper,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,6/11/2021,,"Serves as the primary advisor to the Office of Design and Construction (ODC) Associate Executive Director of CFM on all Eastern Region Office matters associated with service delivery to clients.  Is responsible for facilitating effective project delivery strategies, including budget and resource management and oversight for design, project management and construction management implementation.  Manages the execution of major construction projects, including those managed by VA and Non-Departmental Federal Entities (NDFE), currently the U.S. Army Corps of Engineers), as well as other VA projects (NRM/Minors) as assigned. Serves as the Primary Action Officer for emergent high-level issues related to major construction program management. Oversees the design of systems and processes to support CFMs growing major construction program responsibilities and manages CFMs expansion efforts. Fosters collaboration among VA organizations, U.S. Army Corps of Engineers and other NDFE?s, and synthesizes information from various sources to identify best practices to facilitate overall CFM operations. Forms relationships with VA facilities leadership, construction, and the Architect/Engineer industry to ensure effective execution. Oversees CFM operations in the Central Region, which implements the VA?s major construction projects.","Responsible for the execution of major construction for VA in the Central Region. Develops and facilitates effective project delivery strategies, including budget and resource management and oversight for design, project management and construction management implementation.",,,00Gt0000000ndzaEAA,,00Gt0000000HSc0EAG,00Gt0000000ne33EAA,
OALC-003C1B Operations Eastern Region,001t0000009wArx,OALC-003C1 Design and Construction,001t0000009wAs1,003C1B,3,Organization,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Donald Cooper,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,6/11/2021,,"Serves as the primary advisor to the Office of Design and Construction (ODC) Associate Executive Director of CFM on all Eastern Region Office matters associated with service delivery to clients.  Is responsible for facilitating effective project delivery strategies, including budget and resource management and oversight for design, project management and construction management implementation.  Manages the execution of major construction projects, including those managed by VA and Non-Departmental Federal Entities (NDFE), currently the U.S. Army Corps of Engineers), as well as other VA projects (NRM/Minors) as assigned. Serves as the Primary Action Officer for emergent high-level issues related to major construction program management. Oversees the design of systems and processes to support CFMs growing major construction program responsibilities and manages CFMs expansion efforts. Fosters collaboration among VA organizations, U.S. Army Corps of Engineers and other NDFE?s, and synthesizes information from various sources to identify best practices to facilitate overall CFM operations. Forms relationships with VA facilities leadership, construction, and the Architect/Engineer industry to ensure effective execution. Oversees CFM operations in the Central Region, which implements the VA?s major construction projects.","Responsible for the execution of major construction for VA in the Central Region. Develops and facilitates effective project delivery strategies, including budget and resource management and oversight for design, project management and construction management implementation.",,,00Gt0000000ndzZEAQ,,00Gt0000000HSbzEAG,00Gt0000000ne32EAA,
OALC-003C1A Operations National Region,001t0000009wArw,OALC-003C1 Design and Construction,001t0000009wAs1,003C1A,3,Organization,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Annette Powe,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,9/20/2021,,,"Responsible for the execution of major construction for VA National Cemeteries on behalf of and in collaboration with the National Cemetery Administration. Develops and facilitates effective, standard construction management and implementation strategies.","?	Serves as the primary advisor to the ODC Associate Executive Director of CFM on all National Region Office matters associated with service delivery to clients and is responsible for facilitating effective and standard construction management and implementation strategies.
?	Manages the execution of major construction projects.
?	Serves as the Primary Action Officer for emergent high-level issues related to major construction.
?	Oversees the design of systems and processes to support CFMs growing construction responsibilities and manages CFMs expansion efforts.
?	Fosters collaboration among VA organizations and synthesizes information from various sources to identify best practices to facilitate overall CFM operations.
?	Forms relationships with VA facilities leadership, construction, and the Architect/Engineer industry to ensure effective execution throughout the country.",,00Gt0000000ndzYEAQ,,00Gt0000000HSbyEAG,00Gt0000000ne31EAA,
OALC-003C6D VA History Office,001t000000Kxzds,"OALC-003C6 Deputy Executive Director, Construction and Facilities Management",001t000000cDbD8,003C6D,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Janelle Massey,,Richard Cardenas,Tess Jackson,,,,1,1,Janet Schiller,6/22/2021,-5,7/6/2021,,,"On April 10, 2020, the Secretary of Veterans Affairs announced the establishment of the VA History Office, the principle enterprise-wide management office for centralized VA historical initiatives. The mission of the VA History Office is to establish an overarching program to collect, preserve, and provide access to our relevant historical records and artifacts to tell a comprehensive story of VA and its predecessor organizations. The VA History Office, headed by the Chief Historian, comprises a History Program Office, located at VA Central Office in Washington, DC, and a National VA History Center (NVAHC), to be established in two historic buildings on the Dayton VA Medical Center campus in Dayton, OH.","Manages the Department's history program at the enterprise level.

Maintains oversight of all VA Administration Historians to synergize the overall VA history program.

Supports the overall VA mission by facilitating access to historical materials for researchers, writers, and historians to interpret the significance of the unique relationship between America and its Veterans, and to provide historical information to VA leaders and employees as an applied history tool for contemporary decision-making.

Oversees  the public-private partnership to develop the NVAHC, a centralized location for storage, preservation, and exhibit of VA artifacts and archives.

Develops standards, policies, and procedures for VA on archival and artifact collection, documentation, and preservation.

Manages and utilizes communication tools to promote awareness of VA's history to internal and external constituencies.

Collaborates with external partners in the academic, museum, archival, and historical research professional communities to advance knowledge of, and interest in VA history.

Establishes unified programs to document VA history through publications, oral histories, lessons learned protocols, training, and special projects and exhibits.",,00Gt00000014zL7EAI,,00Gt00000014zIDEAY,00Gt00000014zIEEAY,0
OALC-003C6B Consulting Support Service,001t000000cDbEB,"OALC-003C6 Deputy Executive Director, Construction and Facilities Management",001t000000cDbD8,003C6B,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Janelle Massey,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,1/5/2022,,,Consulting Support Service is responsible for providing subject matter expertise and advice in all matters pertaining to VA's design and construction programs and ensures a full array of technical professional consultation is provided to regional offices and VA Medical Centers.,"Provides guidance for construction, facilities engineering, and safety activities in CFM and provides support on A/E issues; provides subject matter expertise for VA's design and construction programs.

Serves as the Principal Advisor to the Deputy Executive Director of CFM, on all engineering, architectural, and safety services for VA's design and construction programs.

Provides direct on-call consulting support to field installations and CFM regional offices.

Provides consultations and support services related to A/E design services, automated transport design, conceptual and design development support, engineering design services, construction safety, and incident investigation.

Provides emergency response teams for natural disasters or other emergencies affecting VA assets to assess and document damage and critical safety issues, and develop recommendations for corrective action.

Oversees electrical studies, suitability assessments, and façade studies.

Participates and provides technical expertise in major design reviews, facility commissioning, and emergency preparedness assessments.

Provides occupational safety assessments, oversight, and guidance to all CFM facilities, and active construction sites.

Provides occupational safety training for CFM employees and contractors.",,,,00Gt0000002JejVEAS,00Gt0000002JejWEAS,
OALC-003C7C Lease Delivery Division,001t000000cDbH5,OALC-003C7 Real Property,001t0000009wAs0,003C7C,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Brenda Goodworth,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,7/6/2021,,,"The Lease Delivery Service oversees administration of the execution of lease construction from award through acceptance for VHA?s medical, office, warehouse, and research major and some minor leases. This is accomplished through Lease Resident Engineers who work with developers, Architect/Engineers (A/E), who provides technical assistance, contract management services, and other procurement activities.  This team develops and facilitates effective, standard lease construction management and implementation strategies.","?	Oversees CFM?s lease field staff, who manage VHA major and minor lease construction projects.  Staff provides construction and design management for all space types of lease construction including medical, office, warehouse, research and office space.
?	Implements lease construction projects, provides technical assistance to individual project sites, provides contract management services and supports lease and other contract procurement activities.
?	Forms relationships with VA facilities leadership, developers, and the Architect/Engineer (A/E) industry to ensure effective delivery throughout the country.",,,,00Gt0000002JejpEAC,00Gt0000002JejqEAC,0
"OALC-003C6 Deputy Executive Director, Construction and Facilities Management",001t000000cDbD8,OALC-003C Executive Director of Construction and Facilities Management,001t0000009wAsK,003C6,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Janelle Massey,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,7/6/2021,,,"The Deputy Executive Director's office is responsible for providing subject matter expertise, organizational and operational support, and internal review services to all matters pertaining to VA's facilities and construction acquisition, real property acquisition and disposal, and quality assurance of acquisition projects.","?Serves as the Principal Advisor to the Executive Director of CFM for issues associated with construction acquisition, real property acquisition and disposal, and program quality assurance.
?Oversees the administration of programs to assess organizational achievement and individual performance.
?Provides senior leadership to the planning, design, and construction of all Major and Lease construction projects.
?Oversees internal controls and establishes metrics to increase the effectiveness, efficiency, and adaptability of CFM?s business processes.
?Maintains construction and leasing performance measurement and reporting systems.
?Guides the development of a national program strategy for construction acquisition, real property acquisition and disposal, and program quality assurance.
?Reviews policy, guidance and performance measures for the acquisition oversight of construction and leasing programs.
?Delivers expert project and contract schedule support, maintains communication networks for project managers and resident engineers, administers customer satisfaction surveys, and facilitates CFM's Project.
?Provides comprehensive oversight of CFM programs and operations through independent reviews and inspections, in addition to maintaining CFM's internal policy and procedure framework and inventorying the condition of all VA facilities.
?Offers professional consultation services to VHA and NCA.
?Dedicated to the prevention of work-related injuries and illnesses for all CFM employees and contractors through compliance with federal and VA workplace and construction safety policies and procedures.
?Oversees the department-level Historic program, established to collect, preserve, and provide access to relevant historical records and artifacts to tell a comprehensive story of VA.",,00Gt0000002LvaNEAS,,00Gt0000002JejQEAS,00Gt0000002JejREAS,
OALC-003C7D Land Acquisition and Strategic Utilization,001t000000cDbHm,OALC-003C7 Real Property,001t0000009wAs0,003C7D,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Brenda Goodworth,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,7/6/2021,,,"Land Acquisition and Strategic Utilization Division (LASU) oversees administration of land acquisition and disposals for the Department, primarily for NCA and VHA. Support includes land and easement acquisitions, fed-to-fed transfers, condemnations, property disposals (both entire campuses and individual buildings), donations, and the Historic Reuse Program (HRP).","?	Land Acquisitions for NCA- LASU acquires land for cemetery expansion purposes throughout the country to further the VA NCA mission of providing burial benefits to Veterans and eligible dependents.

?	Land Acquisitions for VHA- LASU acquires land to meet the needs of VA medical centers.  This land is used for expansion purposes or for parking.

?	Real Property Disposals and HRP- Land and buildings no longer needed to carry out the mission of VA are disposed of in many possible ways, and LASU executes the disposal process.  Additionally, LASU executes HRP to find other uses for buildings no longer needed, preserving each building?s historic value by finding a tenant who will perform maintenance and upkeep for up to 99 years.",,,,00Gt0000002JejuEAC,00Gt0000002JejvEAC,0
OALC-003C7A Real Property Policy and Program Service,001t000000cDbFT,OALC-003C7 Real Property,001t0000009wAs0,003C7A,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Brenda Goodworth,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,7/6/2021,,,"Policy and Programs Policy) is responsible for providing and updating real property policy, managing the Lease Certification Program (LCP), managing the CHIP-IN program, managing the appraisal program, and conducting real estate investment analysis.  This division develops and updates policy for CFM and VA real estate activities for the Department.  This  section also manages VHA?s Minor Lease Standstill initiative as well as conducts lease training to VHA.","?	Develops real estate policies and guidance, such as Conducting Interagency Security Committee Risk Evaluations for Delegated Leases; Digital Electronic Signature Interim Policy; Authorities Matrix; etc.
?	Manages the Lease Warrant Certification process.
?	Manages the CHIP-IN program, including providing policy and managing the initiation of new pilot projects.
?	Conducts appraisals for leases and land initiatives.
?	Develops tools to help expedite the leasing process.
?	Manages VHA?s Minor Lease Standstill initiative and lease training.
?	Assists VHA and other Administrations with major and Minor leasing needs.
?	Conducts real estate investment analyses, such as Hilo, HI?s and Norman, OK?s initiatives.",,00Gt0000002LKaSEAW,,00Gt0000002JejfEAC,00Gt0000002JejgEAC,
OALC-003C7B Lease Execution Division,001t000000cDbGg,OALC-003C7 Real Property,001t0000009wAs0,003C7B,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Brenda Goodworth,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,7/6/2021,,,"Lease Execution (LE) oversees administration of the procurement of VHA?s Major Leases procurement of some Minor leases and providing lease guidance to the administrations and staff offices.  Leases support medical, office, research, and warehouse requirements. LE also collaborates with GSA who has and is executing 7 pilot leases as well as non-delegated, office-type leases.  For major leases, lease execution begins with conceptual design, due diligence for environmental and historical, proposal and site evaluations in collaboration with the respective VA Medical Center staff to determine the best lease solutions.","?	Provide lease guidance to administrations and staff offices.
?	Review and update business processes to reduce execution timelines, such as conducting design ahead of authorization.
?	Partner with GSA and other entities to share best practices.
?	Provide modern, well designed health care facilities that meet the need of our Veterans.",,,,,,
OALC-003C7E Land Management Division,001t000000cDbIw,OALC-003C7 Real Property,001t0000009wAs0,003C7E,3,Organization,,,,VA Organization,,OALC,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Brenda Goodworth,,Richard Cardenas,Tess Jackson,,,,1,1,Annette Powe,6/11/2021,-5,7/6/2021,,,"Land Management Division (LMD) oversees administration of land management for the Department, primarily for NCA and VHA. Support includes granting easements; executing intra-agency land exchanges, permits, licenses, and out-leasing; and ordering surveys and title work.  LMD solves land use issues such as taxes, easement vacations, and deed corrections and releases. LMD also ensures compliance on all land transactions as required by the NEPA and NHPA.","?	LMD manages the Real Property Project Tracking System (RPPTS) for land initiatives.
?	LMD executes NCA?s, VBA?s and VHA?s outleases, including historic reuse for lodges at cemeteries.
?	LMD executes easement grants needed for VA?s properties.
?	LMD executes permits to support approved capital initiatives for VHA, NCA and VBA.",,,,00Gt0000002JejzEAC,00Gt0000002Jek0EAC,
"OALC-003 Acquisition, Logistics, and Construction",001t0000009wArp,OSVA-00 Office of the Secretary,001t0000009wAx7,3,3,Administration/Staff Office,,,,VA Organization,,OALC,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Annette Powe,,Richard Cardenas,Janet Schiller,,,http://www.va.gov/oalc/.,1,1,Annette Powe,6/11/2021,-5,8/18/2021,,"Provides innovative, cost effective business solutions that meet the needs of our customers in support of Servicemembers, Veterans, and their families.","Provides a full range of innovative, cost-effective business solutions, and responsible services tailored to meet the ongoing and emerging needs of our customers in their support of America?s Veterans and their families.  For more information, please visit http://www.va.gov/oalc/.","Establishes and oversees enterprise acquisition policy, processes, and education.  Also serves as Chairman of the VA Acquisition Executive Council.
?	Serves as the Department?s Chief Acquisition Officer and principal advisor to the Deputy Secretary on acquisition-related items.
?	Develops and maintains the acquisition career management program.  Trains and certifies the entire acquisition team through the operation of the VA Acquisition Academy.
?	Manages and establishes standards for VA?s enterprise wide acquisition technology tools.
?	Formulates, reviews, and implements enterprise wide acquisition policy, ensuring compliance with Federal acquisition policy promulgated by Office of Federal Procurement Policy, legislation, and other regulatory entities.
?	Develops VA Supply chain management policy and monitors enterprise wide operations.
?	Provides strategic direction and management oversight of VA?s delegated authority from the General Services Administration (GSA) to establish and maintain Federal Supply Schedules for health care system, commodities, and equipment.
?	Establishes performance measures for the agencies acquisition programs.
?	Develops and oversees acquisition operations for the Department.
?	Serves as the primary advisor to the Deputy Secretary on acquisition operation related items and co-chairs VA?s Senior Procurement Council.
?	Oversees the formulation of plans and acquisition strategies.
?	Ensures the provision of acquisition services to the Department.  Serves as Co-Chairman of the VA Revolving Fund Board of Directors.
Develops and oversees VA?s major construction program and leasing activities.
?	Serves as the primary advisor to the Deputy Secretary on construction and lease-related items.
?	Manages the progress of specific construction and lease projects.
?	Promulgates VA?s construction, leasing, and historic and environmental preservation polices and standards.
?	Reviews, presents and defends the requested budget for VA?s major construction and leasing program.
?	Oversees the formulation of plans and acquisition strategies for the procurement of land, and construction and leasing services.
?	Provides management and oversight of facility engineering operations for strategic capital investment and project prioritization.
?	Establishes and implements enterprise wide processes and tools to support and standardize the construction and leasing process.",,00Gt0000000ndzAEAQ,,00Gt0000000HSbtEAG,00Gt0000000ne2dEAA,0
OM-044 Office of Asset Enterprise Management,001t0000009wAug,OM-004 Office of Management,001t0000009wAuf,44,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Amy Marie P Gonnella,,Jess E Cruz,Janet Schiller,,http://vaww.va.gov/oaem/,http://www.va.gov/oaem/,1,1,Janet Schiller,7/27/2021,-6,11/30/2021,,"Manage enterprise-wide VA real property, fleet, and facility assets to maximize reliability, sustainability, efficiency, and effectiveness to fulfill Lincoln?s promise to our most valuable resource, our Veterans.","The Office of Asset Enterprise Management (OAEM) provides the Assistant Secretary for Management/Chief Financial Officer, Deputy Secretary, and the Secretary with objective oversight and advice regarding the acquisition, management and disposal of VA capital assets.

The OAEM Executive Director serves as the VA Senior Real Property Officer and as the Chief Sustainability Officer, which is the senior Department official for the Department?s Energy, Environment and Fleet Program Service (EEFS) (energy conservation and management, environmental compliance, vehicle fleet management, sustainable building conformance, climate change adaptation, and related programs). The office oversees capital asset (i.e., buildings, land, structures, and real property leases) activities to ensure effective and prudent portfolio and asset performance management throughout the entire asset life cycle. OAEM develops and disseminates policies, processes, and performance measurement systems for the Department?s capital asset management programs.

OAEM manages the Department?s Strategic Capital Investment Planning (SCIP) process and co-chairs the SCIP Panel and Board. OAEM provides guidance, standards, and technical expertise with respect to individual investments and infrastructure-related programs and initiatives. Additionally, it is responsible for serving as the principal policy office and business advisor regarding capital investment selection and execution, sustainability planning, real property lease oversight, and real property asset disposal planning. Finally, OAEM is the responsible program office for VA?s Enhanced-Use Lease (EUL) program, allowing the Secretary to lease land or buildings to public, private, and/or non-profit partners for up to 75 years to provide housing for homeless Veterans and their families.","? Managing the Department?s SCIP Process.
? Executing VA?s EUL Program to Repurpose Vacant and Underutilized Assets.
? Managing VA?s Real Property Performance and Real Property Portfolio and Lease Oversight Activities.
? Implementing and Oversight Activities of VA?s Energy Management Program (EMP).",,00Gt0000000ndzrEAA,,00Gt0000000HSYeEAO,00Gt0000000ne3KEAQ,0
OM-004 Office of Management,001t0000009wAuf,OSVA-00 Office of the Secretary,001t0000009wAx7,4,4,Administration/Staff Office,,,,VA Organization,,OM,Yes,0,Salesforce Administrator,001t0000003bSjB,,,,,,0,No,1,Yes,,1,4,Latrice Lamont,,Jess E Cruz,Janet Schiller,,No data,No data,1,1,Janet Schiller,7/12/2021,-6,11/19/2021,,"The Office of Management (OM) enables VA to provide a full range of benefits and services to our Nation?s Veterans by providing strategic and operational leadership in budget, asset enterprise management, financial management, financial management business transformation service, actuarial services, and business oversight.  It also promotes public confidence in the Department through stewardship and oversight of business activities that are consistent with national policy, law, and regulation.","The Assistant Secretary for Management and Chief Financial Officer (CFO) advises the VA Secretary on financial stewardship of the Department resources and oversees Departmental budgetary and financial management function.

OM supports the Administrations and Staff Offices through five major service lines and has several activities and initiatives underway to help improve the Department?s operations.","?	Leads Departmental budgetary and financial oversight, including budget formulation and execution monitoring; and financial management activities relating to key VA programs and operations for VA appropriations and revolving funds.

?	Responsible for the management of Department accounting and financial management systems that provides for cost and accounting information; Department-wide financial services, such as payroll and other payment processing; and debt management and collection from Veterans.

?	Oversees the Department-wide capital asset management and independent business oversight activities (e.g. Agency Financial Audit, Internal Controls, STOP Fraud, Waste, Abuse initiatives), including development of long-range construction plans, including development and implementation of financial and capital investment policies and regulations.",,00Gt0000000ndzqEAA,,00Gt0000000HSYdEAO,00Gt0000000ne3JEAQ,0
VBA-24 Office of Financial Management,001t0000009wAwk,VBA-20A Chief of Staff for Under Secretary for Benefits,001t0000009wAwP,24,20,Organization,,,,VA Organization,,VBA,Yes,0,Integration VAIQ User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Antonio D Miller,,Marilyn Lee,Janet Schiller,,,,1,1,Ernise Benjamin,7/30/2021,-6,8/2/2021,,,"The Office of Financial Management (OFM) helps VBA serve Veterans, employees, and taxpayers by effectively obtaining and accounting for financial and other resources, and by effectively planning and measuring results.","OFM provides cost estimates, monitors transactions, and ensures accurate obligations and execution of funds for VBA:
? Formulates VBA?s general operating expense budget for all business lines, Staff Offices, and field operations.
? Oversees obligations, providing detailed information about the VBA spending and ensuring proper management of funds.

OFM develops, prepares, and justifies all mandatory budget estimates necessary to support Veteran?s benefits requirements.
? Submits estimates and justifications to the appropriate parties (VBA, VA, Office of Management and Budget (OMB), and Congress) over the course of the budget cycle.
? Provides cost estimates for new and amendatory legislation, and briefs senior officials in VBA, OMB, and Congress about matters concerning the mandatory benefits budget.
? Plays a distinct role in the distribution of funds pertaining to benefit payment activities.

OFM provides support to VBA Headquarters staff and VBA regional offices for all manpower activities.
? Develops and issues formal manpower policies and procedures.
? Collaborates with all business activities to develop manpower and staffing requirements to enable VBA to effectively and efficiently provide benefits to Veterans.
? Determines financial impacts and costs of proposed and actual changes in manpower and staffing requirements.
? OFM manages and directs all budgetary activities involving the VBA housing, insurance, and vocational rehabilitation programs.

OFM provides support to VBA Headquarters staff and VBA regional offices for all finance activities, including payroll, travel, Government purchase card and benefits questions.
? Develops and issues formal policies and procedures.
? Implements business process improvements, including Treasury initiatives.
? Develops, implements, and supports fiscal systems (VETSNET, CWINRS, etc.) that support programs that deliver benefits.
? Prepares and submits new system business requirements, including the review and approval of functional specifications documents leading to user acceptance testing and the associated coordinating of implementation with other VBA and VA organizations.

OFM manages and directs activities involved with ensuring the integrity of VA?s financial accounting, reporting, and systems for VBA activities.
? Prepares and submits VBA financial statements and other reports, including the Improper Payment Report.
? Researches and corrects accounting errors.
? Ensures that current policies and procedures for programs are implemented.
? Provides detailed accounting business requirements and system testing support to the Finance Services Fiscal System staff.
? Serves as the primary liaison with financial statement auditors and ensures internal control reviews are accomplished.
? Serves as the VBA point of contact for all audit remediation efforts as well as the primary liaison for financial system inspector general activities.
? Prepares actuarial estimates for VBA Other Post Employment Benefit programs.

OFM manages and directs activities ensuring protection of Veterans benefits delivery from Fraud Waste and Abuse (FWA).
? Makes VBA a hostile space for criminals to operate within.
? Protects Veterans, taxpayers? interests, and the integrity of Veterans benefits delivery.
? Increases awareness of potential FWA, VBA-wide and ensure employees have the tools needed to combat FWA.
? Designs and execute benefits data analytics and proactive fraud algorithms.
? Provides FWA investigation assistance to VA OIG and external Federal and state investigatory agencies.
? Integrates the prevention of FWA with VBA?s overall Enterprise Risk Management program.",,00Gt0000000ne2GEAQ,,00Gt0000000HSY3EAO,00Gt0000000ne5jEAA,
